,cartodb_id,the_geom,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged
446,16368,0101000020E6100000C8409E5DBE7652C0BB61DBA2CC6A4440,32143,,NYCDOE: XADQ,St. Helena School,2050,Benedict Avenue,2050 Benedict Avenue,Bronx,Bronx,2,10462.0,40.83437,-73.855369,1024272.4191,243293.8996,2028943.0,2039320075.0,209.0,18,22200,BX46,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,Early Education Program,NYCDOE: 80,,NYCDOE: Seats Overseen by DOE,,,,,Non-public,St. Helena School,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDOE: Universal Pre-K (UPK) School Locations,NYCDOE: https://data.cityofnewyork.us/Education/Universal-Pre-K-UPK-School-Locations/kiyv-ks3f,NYCDOE: 2016-01-15,doe_facilities_universalprek,
447,16390,0101000020E61000000DC4B299437752C080F3E2C4576D4440,32028,,NYCDOE: X534,District 11 Pre-K Center,800,Lydig Avenue,800 Lydig Avenue,Bronx,Bronx,2,10462.0,40.854241,-73.863501,1022010.9757,250529.9934,2048831.0,2042930031.0,211.0,13,22800,BX49,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,K-12 School - Unspecified,,,NYCDOE: Seats,,,,,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDOE: 2015-2016 Blue Book,NYCDOE: https://dnnhh5cc1.blob.core.windows.net/portals/0/Capital_Plan/Utilization_Reports/Blue%20Book%202015-2016.pdf?sr=b&si=DNNFileManagerPolicy&sig=AExrFIUz%2BQDwk%2FlptyHq0ZkW2Ur9J69SJuy4MgQ%2BAp4%3D,NYCDOE: 2016-08-27,doe_facilities_schoolsbluebook,
10680,10793,0101000020E6100000B3CD8DE9097952C038656EBE116B4440,32827,,NYCACS: 137801,Tremont Crotona Day Care Ctr,1600,Crotona Park East,1600 Crotona Park East,Bronx,Bronx,2,10460.0,40.836479,-73.89123,1014348.113,244047.9933,2009866.0,2029390090.0,203.0,17,15500,BX75,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 135,,NYCACS: Seats in Contract,,,,,Non-public,Tremont Crotona Day Care Center,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
10681,10859,0101000020E610000017BA1281EA7752C0711DE38A8B574440,42548,,NYCACS: 323101,Cypress Hills Child Care Ctr,108,Pine Street,108 Pine Street,Brooklyn,Brooklyn,3,11208.0,40.683946,-73.873688,1019282.3317,188481.4736,3327214.0,3041290008.0,305.0,37,117602,BK83,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 70,,NYCACS: Seats in Contract,,,,,Non-public,Cypress Hills Child Care Corporation,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
10900,10886,0101000020E61000002A013109177952C0BA2EFCE07C6A4440,34229,,NYCACS: 1602125,Brightside Academy Louis Nine,1334,Wilkins Avenue,1334 Wilkins Avenue,Bronx,Bronx,2,10459.0,40.831936,-73.892031,1014128.3742,242392.5806,2118405.0,2029767501.0,203.0,17,12300,BX75,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 66,,NYCACS: Seats in Contract,,,,,Non-public,"Brightside Academy, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11014,10932,0101000020E61000007B8670CCB27C52C0A7AD11C138664440,39790,,NYCACS: 703301,East Calvary Day Care Center,1,West  112 Street,1 West  112 Street,New York,Manhattan,1,10026.0,40.798607,-73.948413,998533.0658,230235.2886,1083309.0,1015960001.0,110.0,9,18600,MN11,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 55,,NYCACS: Seats in Contract,,,,,Non-public,"East Calvary Day Care, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11170,10958,0101000020E6100000DF6FB4E3867C52C06B990CC7F3634440,36421,,NYCACS: 750501,Holmes Towers Eisman Nurs,1794,1 Avenue,1794 1 Avenue,New York,Manhattan,1,10128.0,40.780877,-73.945733,999278.9339,223775.9587,1076333.0,1015730020.0,108.0,5,15200,MN32,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 32,,NYCACS: Seats in Contract,,,,,Non-public,Scan-NY,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11261,10795,0101000020E610000022C50089267052C0BE672442234E4440,27322,,NYCACS: 808401,Rockaway Child Care Center,14-66,Beach Channel Drive,14-66 Beach Channel Drive,Far Rockaway,Queens,4,11691.0,40.610451,-73.752352,1053010.1525,161777.19,4449690.0,4155010002.0,414.0,31,103201,QN15,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 35,,NYCACS: Seats in Contract,,,,,Non-public,Bethel Mission Station Church,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11314,10810,0101000020E6100000CEFC6A0E107B52C0438F183DB7544440,45481,,NYCACS: 1600089,Traditional Child Care Ctr.,1112,Winthrop Street,1112 Winthrop Street,Brooklyn,Brooklyn,3,11212.0,40.661842,-73.922855,1005653.1952,180412.7812,3100654.0,3046310007.0,317.0,41,88400,BK96,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 59,,NYCACS: Seats in Contract,,,,,Non-public,"Traditional Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11367,10811,0101000020E6100000E1270EA0DF7252C07847C66AF3574440,25229,,NYCACS: 822201,Afro American Parents Ed Ctr#2,112-06,Sutphin Boulevard,112-06 Sutphin Boulevard,Jamaica,Queens,4,11435.0,40.687116,-73.794899,1041131.5446,189678.0393,4258993.0,4119660001.0,412.0,28,19000,QN76,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 90,,NYCACS: Seats in Contract,,,,,Non-public,Afro-American Parents DCC INC,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11405,10789,0101000020E6100000D95BCAF9627D52C01EC2F869DC594440,43051,,NYCACS: 360703,Yeshiva Kehilath Yakov 6,638,Bedford Avenue,638 Bedford Avenue,Brooklyn,Brooklyn,3,11249.0,40.702039,-73.959166,995572.2157,195050.8797,3332990.0,3022100038.0,301.0,33,53700,BK72,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 56,,NYCACS: Seats in Contract,,,,,Non-public,Yeshiva Kehilath Yakov,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11406,10790,0101000020E6100000045ABA826D7A52C04014CC9882694440,19566,,NYCACS: 125902,Iola's Jordan DCC,421,East  161 Street,421 East  161 Street,Bronx,Bronx,2,10451.0,40.824298,-73.912934,1008346.7944,239603.2494,2001505.0,2023830012.0,203.0,17,14100,BX35,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 154,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"1332 Fulton Avenue Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11407,10791,0101000020E610000045B75ED3837D52C0D862B7CF2A5B4440,42577,,NYCACS: 349103,Nuestros Ninos DCC IIi,161,South    3 Street,161 South    3 Street,Brooklyn,Brooklyn,3,11211.0,40.712244,-73.961171,995014.6393,198768.6821,3063127.0,3024180031.0,301.0,34,55100,BK73,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 35,,NYCACS: Seats in Contract,,,,,Non-public,"Nuestros Ninos Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11408,10792,0101000020E61000005AB91798157C52C0A182C30B22584440,14724,,NYCACS: 330502,Lssny - Early Life,265,Marcus Garvey Boulevard,265 Marcus Garvey Boulevard,Brooklyn,Brooklyn,3,11221.0,40.688539,-73.938818,1001217.4232,190135.7412,3044209.0,3016240001.0,303.0,36,27900,BK35,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 24,,NYCACS: Seats in Contract,,,,City Leased,Non-public,Lutheran Social Services of NY,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11409,10794,0101000020E610000094861A85247C52C09A081B9E5E694440,16794,,NYCACS: 740902,Lssmny - Early Life  DCC13,218,West  147 Street,218 West  147 Street,New York,Manhattan,1,10039.0,40.8232,-73.939729,1000931.1947,239196.8474,1060503.0,1020320017.0,110.0,9,23400,MN03,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 41,,NYCACS: Seats in Contract,,,,City Leased,Non-public,Lutheran Social Services of NY,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11410,10797,0101000020E6100000E6CE4C309C7F52C0D7A02FBDFD5B4440,744,,NYCACS: 1230912,Garment Ind Dc Chinatown,115,Chrystie Street,115 Chrystie Street,New York,Manhattan,1,10002.0,40.718681,-73.993908,985938.7716,201111.5861,1005645.0,1004230022.0,103.0,1,1800,MN27,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 65,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Chinese-American Planning Council, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11411,10798,0101000020E6100000CC0BB08F4E7652C0E19524CFF56B4440,32848,,NYCACS: 110701,Westchester Tremont DCC,2547,East Tremont Avenue,2547 East Tremont Avenue,Bronx,Bronx,2,10461.0,40.843439,-73.848545,1026155.1814,246601.2914,2044137.0,2040780010.0,211.0,13,25600,BX37,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 86,,NYCACS: Seats in Contract,,,,,Non-public,"Westchester Tremont Day Care Center, Inc",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11412,10799,0101000020E6100000825660C8EA7E52C061FC34EECD574440,17642,,NYCACS: 328001,Strong Place For Hope Atlantic,460,Atlantic Avenue,460 Atlantic Avenue,Brooklyn,Brooklyn,3,11217.0,40.685972,-73.98308,988942.4798,189195.074,3000937.0,3001840025.0,302.0,33,4100,BK38,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 100,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Strong Place Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11413,10800,0101000020E6100000EA094B3CA07C52C0D5592DB0C7544440,21070,,NYCACS: 338901,All My Children Daycare 10,420,Lefferts Avenue,420 Lefferts Avenue,Brooklyn,Brooklyn,3,11225.0,40.662344,-73.94728,998876.4118,180590.4916,3035444.0,3013310009.0,309.0,40,80600,BK60,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 153,,NYCACS: Seats in Contract,,,,City Leased,Non-public,All My Children Daycare,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11414,10802,0101000020E610000039B69E211C7252C07E737FF5B8574440,28566,,NYCACS: 805501,Myrtle P Jarmon Ecec,116-55,Guy R Brewer Boulevard,116-55 Guy R Brewer Boulevard,Jamaica,Queens,4,11434.0,40.685332,-73.782967,1044442.136,189036.0907,4435292.0,4123350044.0,412.0,28,27800,QN76,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 52,,NYCACS: Seats in Contract,,,,,Non-public,"Clifford Glover Day Care Center, Inc",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11415,10803,0101000020E61000009430D3F6AF7C52C0292504ABEA674440,1457,,NYCACS: 710001,Utopia Children's Center,236,West  129 Street,236 West  129 Street,New York,Manhattan,1,10027.0,40.811849,-73.94824,998577.9271,235059.786,1081503.0,1019330001.0,110.0,9,22400,MN03,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 40,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Utopia Children's Center, Inc",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11416,10804,0101000020E610000054AD8559687E52C0812381069B5E4440,1413,,NYCACS: 719601,Bellevue-Educare Child Care Ct,462,1 Avenue,462 1 Avenue,New York,Manhattan,1,10016.0,40.739106,-73.975119,991144.9065,208553.7637,1086515.0,1009620100.0,106.0,4,6200,MN20,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 29,,NYCACS: Seats in Contract,,,,City Owned,Non-public,"Bellevue Day Care Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11417,10805,0101000020E6100000F04C6892587252C0C70F9546CC584440,20602,,NYCACS: 850601,All My Children Daycare 4,110-15,164 Place,110-15 164 Place,Jamaica,Queens,4,11433.0,40.693734,-73.786656,1043411.8124,192094.6137,4216947.0,4101930001.0,412.0,27,26400,QN01,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 100,,NYCACS: Seats in Contract,,,,City Leased,Non-public,All My Children Daycare,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11418,10807,0101000020E61000008F8EAB915D7A52C0611C5C3AE6564440,1628,,NYCACS: 341908,Shirley Chisholm DCC # 4,33,Somers Street,33 Somers Street,Brooklyn,Brooklyn,3,11233.0,40.678901,-73.911961,1008669.2737,186630.6027,3041852.0,3015380046.0,316.0,41,37100,BK79,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 118,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Shirley Chisholm Day Care Center, Inc",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11419,10808,0101000020E6100000F0DAA50D877752C02E5915E1266F4440,33343,,NYCACS: 1601922,Brightside Academy White Pl 1,2901,White Plains Road,2901 White Plains Road,Bronx,Bronx,2,10467.0,40.868374,-73.867618,1020864.2438,255677.3353,2054713.0,2045420001.0,211.0,15,33600,BX07,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 34,,NYCACS: Seats in Contract,,,,,Non-public,"Brightside Academy, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11420,10809,0101000020E6100000ED293927F67C52C053B29C84D2534440,44329,,NYCACS: 387103,Brightside Academy - Clarkson,210,Clarkson Avenue,210 Clarkson Avenue,Brooklyn,Brooklyn,3,11226.0,40.654862,-73.952524,997423.0609,177863.9681,3116264.0,3050660011.0,317.0,40,82000,BK60,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 54,,NYCACS: Seats in Contract,,,,,Non-public,"Brightside Academy, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11421,10812,0101000020E6100000B7CF2A33A57A52C0F22213F06B564440,44298,,NYCACS: 1602014,Child Prodigy Learning Ctr Inc,311,Saratoga Avenue,311 Saratoga Avenue,Brooklyn,Brooklyn,3,11233.0,40.675169,-73.916333,1007457.8929,185269.7177,3038707.0,3014400001.0,316.0,41,30300,BK79,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 12,,NYCACS: Seats in Contract,,,,,Non-public,"Child Prodigy Learning Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11422,10813,0101000020E6100000B9162D40DB7952C02384471B47584440,14087,,NYCACS: 370803,Life - Audrey Johnson Cc Only,272,Moffat Street,272 Moffat Street,Brooklyn,Brooklyn,3,11207.0,40.68967,-73.904007,1010871.0194,190556.4608,3080179.0,3034480015.0,304.0,37,40900,BK77,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 34,,NYCACS: Seats in Contract,,,,City Leased,Non-public,"Labor and Industry for Education, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
11423,10814,0101000020E6100000467D923B6C7A52C04FE8F527F16B4440,34131,,NYCACS: 141701,Mid Bronx Ccrp Ecc 2,100,East Mt Eden Avenue,100 East Mt Eden Avenue,Bronx,Bronx,2,10452.0,40.843297,-73.912856,1008361.3255,246525.2968,2008017.0,2028370011.0,204.0,14,20900,BX63,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 178,,NYCACS: Seats in Contract,,,,,Non-public,"Mid Bronx CCRP Early Childhood Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11424,10815,0101000020E61000009561DC0DA27C52C06EF8DD74CB5A4440,43023,,NYCACS: 325102,Stagg Street Center For Child,77,Stagg Street,77 Stagg Street,Brooklyn,Brooklyn,3,11206.0,40.709334,-73.947391,998835.5161,197710.4692,3070819.0,3030230032.0,301.0,34,51100,BK90,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 95,,NYCACS: Seats in Contract,,,,,Non-public,"Bushwick Improvement Society, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11425,10816,0101000020E6100000DEAAEB504D7152C0DA3A38D89B564440,26861,,NYCACS: 1337201,Rochdale Village Nursery I,170-30,130 Avenue,170-30 130 Avenue,Jamaica,Queens,4,11434.0,40.676631,-73.770344,1047951.423,185874.6809,4436341.0,4124950002.0,412.0,28,33402,QN02,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 20,,NYCACS: Seats in Contract,,,,,Non-public,"Rochdale Village Nursery School, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11426,10817,0101000020E610000025CADE52CE7E52C018778368AD584440,45723,,NYCACS: 310903,Bbcs Duffield Chldrns Ctr,101,Fleet Place,101 Fleet Place,Brooklyn,Brooklyn,3,11201.0,40.692792,-73.981343,989423.77,191679.6859,3058258.0,3020610100.0,302.0,35,3100,BK68,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 63,,NYCACS: Seats in Contract,,,,,Non-public,Brooklyn Bureau of Community Service,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11427,10818,0101000020E6100000B262B83A007D52C03485CE6BEC664440,38060,,NYCACS: 702301,Citizens Care Day Care Ctr #1,131,St Nicholas Avenue,131 St Nicholas Avenue,New York,Manhattan,1,10026.0,40.80409,-73.953139,997223.2641,232232.0245,1058378.0,1019220041.0,110.0,9,21800,MN11,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 37,,NYCACS: Seats in Contract,,,,,Non-public,"Citizens Care Day Care Center, Inc",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11428,10819,0101000020E6100000EB0088BB7A7D52C053245F09A45A4440,43710,,NYCACS: 381802,Life - John Williams Cc Only,321,Roebling Street,321 Roebling Street,Brooklyn,Brooklyn,3,11211.0,40.708131,-73.960616,995169.198,197270.0813,3341975.0,3021400026.0,301.0,33,52500,BK73,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 18,,NYCACS: Seats in Contract,,,,,Non-public,"Labor and Industry for Education, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11429,10820,0101000020E6100000DB32E02C257752C0E3AAB2EF8A684440,6752,,NYCACS: 1602274,Seabury Day Care Center.Inc.,575,Soundview Avenue,575 Soundview Avenue,Bronx,Bronx,2,10473.0,40.81674,-73.861644,1022546.2147,236867.7781,2021465.0,2035230034.0,209.0,18,1600,BX09,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 82,,NYCACS: Seats in Contract,,,,,Non-public,"Leake and Watts Services, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11430,10821,0101000020E6100000CC6262F3717E52C03065E080965C4440,37018,,NYCACS: 730903,C P C Jacob Riis CCC,108,Avenue D,108 Avenue D,New York,Manhattan,1,10009.0,40.723343,-73.975705,990984.2266,202810.8652,1077507.0,1003620001.0,103.0,2,2400,MN28,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 45,,NYCACS: Seats in Contract,,,,,Non-public,"Chinese-American Planning Council, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
11431,10822,0101000020E610000071CADC7C238052C0F59ECA694F494440,8305,,NYCACS: 304707,Ywca - Roberta Bright Elc #2,3001,West   37 Street,3001 West   37 Street,Brooklyn,Brooklyn,3,11224.0,40.572736,-74.002166,983648.257,147939.539,3189617.0,3070650001.0,313.0,47,34000,BK21,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 25,,NYCACS: Seats in Contract,,,,City Leased,Non-public,YWCA of the City of New York,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS;NYCDCAS,NYCACS: Contractor Data;NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCACS: 2016-08-27;NYCDCAS: 2016-10-20,acs_facilities_daycareheadstart;dcas_facilities_colp,
